,ingredients,explanation,reference
32,aloe-barbadensis-leaf,"[""ExplainedAloe Barbadensis Leaf is a plant material from the leaves of the aloe, Aloe barbadensis, LiliaceaeAloe leaves contain the antioxidants VitaminsA,C, andE. These vitamins neutralize free radicals.It also contains sugars in the form of monosaccharides and polysaccharides, folic acid, choline, many common minerals such as calcium, 12 anthraquinones, fatty acids, amino acids, and Vitamin B12.Polysaccharides help hydrate your skin by mimicking your skin's natural carbohydrates.Aloe leaves contain many components that are known to help reduce irritation and itchiness. These include vitamins, amino acids, polysaccharides, and more. The high water content of aloe also helps give a cooling effect. This makes aloe an effective sunburn reliever.Despite helping heal sunburns, aloe does not protect your skin against UV damage. Aloe should not replace your sunscreen.""]","['https://www.mdpi.com/2076-3417/11/12/5660', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2763764/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144722/']"
33,hydrolyzed-hyaluronic-acid,"['ExplainedHydrolyzed Hyaluronic Acid is a form of hyaluronic acid. It is created by the hydrolysis of hyaluronic acid with a high molecular weight. Once created, Hydrolyzed Hyaluronic Acid has a low molecular weight.Low molecular weight HA has been shown to hydrate and increase elasticity of the skin. Increasing elasticity is also associated with reduction of wrinkle depth.One study found topical low molecular weight hyaluronic acid may be considered for the treatment of rosacea in the adult population. However, we always recommend speaking with a professional about your skin concerns.Hyaluronic acids are a humectant. This means they draw moisture from the air. Hyaluronic acids help moisturize, soothe, and protect the skin.Read more about other common forms of hyaluronic acid:Sodium HyaluronateHyaluronic AcidSodium Hyaluronate Crosspolymer']","['https://pubmed.ncbi.nlm.nih.gov/18641349/', 'https://pubmed.ncbi.nlm.nih.gov/23839183/', 'https://journals.aai.org/jimmunol/article/181/3/2103/38355/Low-Molecular-Weight-Hyaluronic-Acid-Increases-the', 'https://pubmed.ncbi.nlm.nih.gov/22052267/', 'https://onlinelibrary.wiley.com/doi/full/10.1111/jocd.12120']"
34,mandelic-acid,"[""ExplainedMandelic Acid helps exfoliate skin. It also contains antioxidant properties.As an AHA, Mandelic Acid removes the top layer of skin cells from the newer layer of skin underneath. This helps skin to remove dark spots and look more even.Mandelic Acid may be an alternative toGlycolic Acidfor those with sensitive skin.Mandelic Acid may help reduce wrinkles, acne, and hyperpigmentation.Read more about some other popular AHA's here:Citric AcidGlycolic AcidLactic AcidMalic Acid""]","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3834725/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6017965/', 'https://www.semanticscholar.org/paper/Effects-of-Topical-Mandelic-Acid-Treatment-on-Skin-Jacobs-Culbertson/5328f64ab408c137ba56186fda29fb641f792fc1', 'https://www.semanticscholar.org/paper/Evaluation-of-the-efficacy-and-tolerability-of-for-Dȩbowska-Kaszuba/82b2b83f4227b862625a68ea8129e71d11c23dd3']"
35,urea,"['ExplainedUrea is also called carbamide and is the diamide of carbonic acid. In cosmetics, urea is used to hydrate the skin. It also provides exfoliation in higher concentrations.As a humectant, urea helps draw moisture from the air and from deep within the skin. This helps hydrate your skin. Studies show urea is an effective moisturizer for dry skin conditions. 40% urea is typical in medications for treating eczema and other skin conditions.Urea has the strongest exfoliation effect in concentrations higher than 10%. It is a keratolytic agent, meaning it breaks down the keratin protein in the top layer of skin. This helps remove dead skin cells and flaking skin.In medicine, urea has been shown to help increase the potency of other ingredients, such as fungal treatments.Humans and animals use urea to metabolize nitrogen-containing compounds. Urea is highly soluble in water. Once dissolved, it is neither acidic nor alkaline.']","['https://pubmed.ncbi.nlm.nih.gov/30378232/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5297015/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6458736/', 'https://www.sciencedirect.com/science/article/pii/S0928098713001607?via%3Dihub']"
36,adapalene,"['ExplainedAdapalene is a type of retinoid and common acne treatment.It has been found to be as effective as other retinoids while causing less irritation. Adapalene helps with anti-aging and acne treatment.You can buy adapalene over the counter, or in-store, in concentrations of 0.1% in gel form. 0.1% lotion or cream and 0.3% gel are only available with a prescription.']","['https://pubmed.ncbi.nlm.nih.gov/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6791161/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8239663/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8750127/']"
37,kojic-acid,"['ExplainedKojic acid comes from fungi and can also be from fermented foods.Kojic Acid helps even out skin tone and reduce hyperpigmentation. It works by blocking tyrosine, an enzyme that starts the process of skin darkening.Kojic Acid is antifungal and often used to treat fungal infections. Additionally, Kojic Acid can help fight bacteria with its antimicrobrial properties. A side effect may be treating acne caused by bacteria.Kojic Acid has similar benefits toarbutin.']","['https://pubmed.ncbi.nlm.nih.gov/23353126/', 'https://www.e-ijd.org/article.asp?issn=0019-5154;year=2015;volume=60;issue=2;spage=147;epage=152;aulast=Mahajan', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3509554/', 'https://www.sciencedirect.com/science/article/pii/S0753332218367477?via%3Dihub']"
38,bakuchiol,"[""ExplainedBakuchiol is a plant-derived antioxidant (it's vegan!). It is often called the replacement for retinol although it is not part of the same family.It has similar effects as retinol: skin smoothing, reducing discoloration, and preventing wrinkles. It does not cause as much irritation as traditional retinoids.Bakuchiol works by breaking down free radicals and stimulating collagen production in skin.Combining bakuchiol with retinol will not have adverse side effects. Studies show using them will just boost the benefits. Bakuchiol is also found to help stabilize retinol.While bakuchiol does not make the skin more sun sensitive, we recommend wearing SPF on a daily basis.Read more about traditionalretinol""]","['https://pubmed.ncbi.nlm.nih.gov/24471735/', 'https://pubmed.ncbi.nlm.nih.gov/29947134/', 'https://www.tandfonline.com/doi/abs/10.1080/14786419.2020.1837813']"
39,collagen,"['ExplainedCollagen is the most abundant type of structural protein found in your body. In your skin, it is responsible for keeping it firm and youthful.Your body uses collagen for a variety of tasks. These tasks include repairing and maintaning tissues, helping cells communicate, and helping your body’s immune system respond to attacks.Collagen is comprised mostly of glycine, proline, and hydroxypoline. These are amino acids.Collagen can be used in the morning or night. It will not increase sun sensitivity, but you should always wear sunscreen during the day.']",['https://www.mdpi.com/2072-6643/11/10/2494']
40,zinc-oxide,"[""ExplainedZinc Oxide is a mineral broad-spectrum UV filter; it is the broadest UVA and UVB reflector approved by the FDA. While it is most commonly man-made for cosmetics, it can naturally occur in zincite, a rare mineral.Today, traditional and nano-sized zinc oxide can be found in beauty products. Nano-sized zinc oxide can enhance a product's UV protection. While it is not believed to have a negative effect on skin, nano-zinc oxide can be harmful to coral reefs.More about harmful reefingredients here.Zinc Oxide also has antibacterial and calming properties. It is not water soluble.Zinc has been used throughout history as an ingredient in paint and medicine. An Indian text from 500BC is believed to list zinc oxide as a salve for open wound. The Ancient Greek physician Dioscorides has also mentioned the use of zinc as an ointment in 1AD.""]","['https://link.springer.com/referenceworkentry/10.1007/978-981-16-8698-6_100', 'https://pubmed.ncbi.nlm.nih.gov/25527211/', 'https://pubmed.ncbi.nlm.nih.gov/28509652/', 'https://www.cosmeticsinfo.org/ingredients/zinc-oxide/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4120804/']"
41,ceramide-eop,"['ExplainedCeramide EOP is a type of Ceramide. EOP stands for a linkedEsterfatty acid, a linkedOmegahydroxy fatty acid, and thePhytosphingosinebase.Ceramides are intercellular lipids naturally found in our skin that bonds dead skin cells together to create a barrier. They are known for their ability to hold water and thus are a great ingredient for dry skin.Ceramides are an important building block for our skin barrier. A stronger barrier helps the skin look more firm and hydrated. By bolstering the skin ceramides act as a barrier against irritating ingredients. This can help with inflammation as well.If you would like to eat ceramides, sweet potatoes contain a small amount.Read more about other common types of ceramides here:Ceramide APCeramide NP']","['https://link.springer.com/article/10.1007/s00216-005-0044-3', 'https://pubmed.ncbi.nlm.nih.gov/30410378/']"
42,zinc,['ExplainedZinc is an antioxidant. It can help to heal scars and fight acne.'],[]
43,dimethicone,"[""ExplainedDimethicone is a silicone used for making products smooth and silky. It also has the added benefit of sealing in hydration. The amount of dimethicone found in beauty products is considered safe and non-comedogenic, meaning it won't clog pores.Dimethicone has been found increase absorption in skin, boosting the benefits of other ingredients. While there is concern for the safety of dimethicone, the levels used in skincare are safe for use.""]","['https://jamanetwork.com/journals/jamasurgery/article-abstract/555355', 'https://thedermreview.com/dimethicone/', 'https://www.karger.com/Article/Abstract/354914', 'https://www.researchgate.net/publication/326548965_Pharmapolymers_in_the_21_st_Century_Synthetic_Polymers_in_Drug_Delivery_Applications']"
44,ceramide-3,"['ExplainedCeramide 3 is a form of ceramide.Ceramides are intercellular lipids naturally found in our skin that bonds dead skin cells together to create a barrier. They are known for their ability to hold water and thus are a great ingredient for dry skin.Ceramides are an important building block for our skin barrier. A stronger barrier helps the skin look more firm and hydrated. By bolstering the skin ceramides act as a barrier against irritating ingredients. This can help with inflammation as well.If you would like to eat ceramides, sweet potatoes contain a small amount.Read more about other common types of ceramides here:Ceramide APCeramide EOPCeramide NPCeramide 3 (Retired) is the N-acylated phytosphingosine having the erythro structure that conforms generally to the formula, where m has a value ranging from 12 to 28 in which the acyl moiety may be saturated, mono-unsaturated, or di-unsaturated and n has a value ranging from 10 to 20. The INCI Name, Ceramide 3, originally developed in 1997, was designated with a retired status in 2014. For an interim period of time, trade name assignments formerly published with the INCI Name Ceramide 3 will be retained in the retired monograph, and also published with the new name assignment, Ceramide NP.']","['https://pubmed.ncbi.nlm.nih.gov/21938268/', 'https://pubmed.ncbi.nlm.nih.gov/30410378/']"
